,id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
48,2687,2024-01-31 04:45:37.959045+00:00,,t,fragment,fragment,73468612463573912,648518346494750485,[ 42849 108591   2819]
49,2688,2024-01-31 04:45:37.959711+00:00,,t,fragment,fragment,74386703934133111,648518346499556187,[ 68133 206884   1301]
50,2689,2024-01-31 04:45:37.960378+00:00,,t,fragment,fragment,73539187366032625,648518346510791193,[ 43919 114767   2743]
51,2690,2024-01-31 04:45:37.961016+00:00,,t,fragment,fragment,73539187366014162,648518346510788121,[ 43933 114801   2751]
52,2691,2024-01-31 04:45:37.961660+00:00,,t,fragment,fragment,73470124157571707,648518346432195026,[ 42679 153751   2458]
53,2692,2024-01-31 04:45:37.962314+00:00,,t,fragment,fragment,73399068621486921,648518346515894097,[ 40847 133829   3290]
54,2693,2024-01-31 04:45:37.962945+00:00,,t,fragment,fragment,73117524656876652,648518346483383884,[ 31185 131433   2804]
55,2694,2024-01-31 04:45:37.963557+00:00,,t,fragment,fragment,72764787716924545,648518346517682468,[ 21287 105721   3060]
56,2695,2024-01-31 04:45:37.964194+00:00,,t,fragment,fragment,73469368512045733,648518346496925954,[ 42065 131357   3065]
57,2696,2024-01-31 04:45:37.964804+00:00,,t,fragment,fragment,73399274444394143,648518346487092821,[ 39677 141215   2662]
58,2697,2024-01-31 04:45:37.965428+00:00,,t,fragment,fragment,72553612966200097,648518346479975141,[ 16201 104077   3414]
59,2698,2024-01-31 04:45:37.966161+00:00,,t,fragment,fragment,72553750270580858,648518346498450002,[ 14603 106631   3084]
60,2699,2024-01-31 04:45:37.966760+00:00,,t,fragment,fragment,73469299725291094,648518346474247289,[ 41539 130571   2860]
61,2700,2024-01-31 04:45:37.967386+00:00,,t,fragment,fragment,73540492901781664,648518346474649125,[ 43063 153911   2469]
62,2701,2024-01-31 04:45:37.967997+00:00,,t,fragment,fragment,73469368512031447,648518346488089111,[ 42079 131427   3064]
63,2702,2024-01-31 04:45:37.968614+00:00,,t,fragment,fragment,73540492901532877,648518346474576421,[ 43169 154421   2443]
64,2703,2024-01-31 04:45:37.969228+00:00,,t,fragment,fragment,72976787235559409,648518346490876392,[ 27221 131235   2899]
65,2704,2024-01-31 04:45:37.969826+00:00,,t,fragment,fragment,73188923924690524,648518346343047173,[ 33915 162141   2264]
66,2708,2024-01-31 04:45:37.972301+00:00,,t,"T1L, local",22A,72342849794132027,648518346501117289,[  8896 112912   2351]
67,2709,2024-01-31 04:45:37.972927+00:00,,t,"T1L, local",unknown,72694419039729528,648518346496171837,[ 19185 106201   3119]
68,2710,2024-01-31 04:45:37.974382+00:00,,t,"T1L, sensory",SN,72412806825403989,648518346502528083,[ 10763 102201   3509]
69,2586,2023-07-22 01:03:59.166776+00:00,,t,"T3L, ascending, intersegmental",12B,73471154412994576,648518346481078874,[ 42984 185536   1470]
70,2587,2023-07-22 01:03:59.188373+00:00,,t,"T3R, ascending, intersegmental",12B,73752698175943394,648518346498434097,[ 50152 187264   1547]
71,2711,2024-01-31 04:45:37.975008+00:00,,t,"T1R, intersegmental",9A,73678962312135039,648518346494595461,[47240 86352  1922]
72,2593,2023-07-22 01:03:59.318718+00:00,,t,"T3R, intersegmental",8B,73330760186369087,648518346477598684,[ 36890 195165    842]
